player_name,team,pos,player_id,roster_slot,return_week,note,target_share,carry_share,catch_rate,ypc,yac_per_rec,cpoe,sack_rate,scramble_rate,adot,avg_air_yards_per_att,deep_target_rate,elusiveness,broken_tackle_rate,avg_time_to_throw_sec,avg_separation_yds,rz_target_share,rz_carry_share,gl_target_share,gl_carry_share,dfs_status,starter_override
CJ Stroud,HOU,QB,00-0039163,active,,,0.0,0.015,,,,-0.2576,0.0661,0.04,,8.0804,,,,2.9181,,0.0,0.015,0.0,0.015,active,
Davis Mills,HOU,QB,00-0036898,active,,,0.0,0.015,,,,-14.6118,0.0293,0,,6.9559,,,,2.5791,,0.0,0.015,0.0,0.015,active,
Graham Mertz,HOU,QB,00-0040211,ir,8,OUT wk2 (ir),0.0,0.0,,,,0,0.06,0.05,,8,,,,2.7,,0.0,0.0,0.0,0.0,active,
David Montgomery,HOU,RB,00-0035685,active,,,0.05,0.6,0.8806,4.3263,9.9298,,,,0.23,,0,2.5124,0.403,,3.2,0.04,0.63,0.03,0.675,active,
Woody Marks,HOU,RB,00-0040583,active,,,0.1,0.295,0.6933,3.6166,9.0256,,,,1.3856,,0.0133,1.5418,0.2115,,3.2,0.08,0.305,0.06,0.25,active,
Jawhar Jordan,HOU,RB,00-0039405,practice_squad,,,0.0,0.0,1,3.8417,7.9,,,,-1.95,,0,-0.8365,0.25,,3.2,0.0,0.0,0.0,0.0,active,
British Brooks,HOU,RB,00-0039603,active,,,0.01,0.07,0.75,3.5865,6.5,,,,1,,0.04,0,0.15,,3.2,0.01,0.05,0.01,0.07,active,
Noah Whittington,HOU,RB,00-0041312,practice_squad,,,0.0,0.0,0.75,4.2,6.5,,,,1,,0.04,0,0.15,,3.2,0.0,0.0,0.0,0.0,active,
Nico Collins,HOU,WR,00-0036554,active,,OUT wk2 (dfs_inactive),0.0,0.0,0.6636,7.5,5.5172,,,,12.2871,,0.1912,0.8288,0.2606,,2.5889,0.0,0.0,0.0,0.0,out,
Jayden Higgins,HOU,WR,00-0040130,ir,99,OUT wk2 (ir); out for the year (Cam),0.0,0.0,0.6848,4,3.9615,,,,11.3971,,0.2167,-1.0173,0.1062,,2.5761,0.0,0.0,0.0,0.0,active,
Tank Dell,HOU,WR,00-0038977,ir,99,OUT wk2 (ir); out for the year (Cam),0.0,0.0,0.6279,3.8056,3.056,,,,12.7691,,0.1986,-2.3284,0.0385,,2.6852,0.0,0.0,0.0,0.0,active,
Xavier Hutchinson,HOU,WR,00-0038618,active,,,0.17,0.0,0.5657,7.3333,3.3884,,,,9.3872,,0.0971,-1.1387,0.1261,,2.6498,0.18,0.0025,0.18087,0.0,active,
Jaylin Noel,HOU,WR,00-0040138,active,,,0.2,0.0,0.7555,2,5.4653,,,,4.8397,,0.1081,-1.7512,0.0833,,2.4128,0.22,0.0025,0.13913,0.0,active,
Daniel Sobkowicz,HOU,WR,00-0041309,practice_squad,,,0.0,0.0,0.62,4.2,4.2,,,,11.5,,0.15,0,0.15,,2.8,0.0,0.0,0.0,0.0,active,
Jared Wayne,HOU,WR,00-0038728,active,,,0.05,0.0,1,4.2,1.5,,,,8.5,,0,-3.4198,0,,2.8,0.05,0.0025,0.069565,0.0,active,
Josh Kelly,HOU,WR,00-0040049,practice_squad,,,0.0,0.0,0.62,4.2,4.2,,,,11.5,,0.15,0,0.15,,2.8,0.0,0.0,0.0,0.0,active,
Kayshon Boutte,HOU,WR,00-0038608,active,,new to team,0.22,0.02,0.6127,4,2.874,,,,15.957,,0.2958,-0.9133,0.1111,,2.396,0.2,0.0025,0.250435,0.0,active,
Lewis Bond,HOU,WR,00-0041467,practice_squad,,,0.0,0.0,0.62,4.2,4.2,,,,11.5,,0.15,0,0.15,,2.8,0.0,0.0,0.0,0.0,active,
Mitchell Tinsley,HOU,WR,,practice_squad,,new to team,0.0,0.0,0.3333,4,2,,,,14.75,,0.2917,0,0.15,,1.609,0.0,0.0,0.0,0.0,active,
Dalton Schultz,HOU,TE,00-0034383,active,,,0.145,0.0,0.707,4,4.1384,,,,7.4588,,0.0758,-0.431,0.1466,,3.5259,0.16,0.0,0.175,0.0,active,
Foster Moreau,HOU,TE,00-0034981,active,,,0.03,0.0,0.6902,4,5.4213,,,,6.3689,,0.0924,1.0441,0.2083,,4.5192,0.03,0.0,0.03,0.0,active,
Brevin Jordan,HOU,TE,,active,,,0.025,0.0,0.75,4,1.5,,,,1,,0,-4.3619,0,,5.027,0.03,0.0,0.055,0.0,active,
Cade Stover,HOU,TE,00-0039359,active,,,0.0,0.0,0.6886,0.75,6.0833,,,,4.4123,,0.0175,0.3507,0.2889,,3,0.0,0.0,0.0,0.0,active,
Marlin Klein,HOU,TE,00-0041472,active,,,0.0,0.0,0.68,4.2,4.5,,,,7.5,,0.06,0,0.15,,3,0.0,0.0,0.0,0.0,active,
Zaire Mitchell-Paden,HOU,TE,,practice_squad,,new to team,0.0,0.0,0.68,4.2,4.5,,,,7.5,,0.06,0,0.15,,3,0.0,0.0,0.0,0.0,active,
Totals,,,,,,,1.0,1.015,,,,,,,,,,,,,,1.0,1.025,1.0,1.025,active,
