player_name,team,pos,player_id,roster_slot,return_week,note,target_share,carry_share,catch_rate,ypc,yac_per_rec,cpoe,sack_rate,scramble_rate,adot,avg_air_yards_per_att,deep_target_rate,elusiveness,broken_tackle_rate,avg_time_to_throw_sec,avg_separation_yds,rz_target_share,rz_carry_share,gl_target_share,gl_carry_share
Geno Smith,NYJ,QB,00-0030565,active,,,0,0.01,,,,1.387,0.074,0.03,,6.71172,,,,2.8222,,0,0.01,0,0.01
Bailey Zappe,NYJ,QB,,practice_squad,,,0,0,,,,-13.5541,0.0303,0,,7.0968,,,,2.7206,,0,0,0,0
Cade Klubnik,NYJ,QB,00-0041056,active,,,0,0,,,,0,0.06,0.05,,8,,,,2.7,,0,0,0,0
Breece Hall,NYJ,RB,00-0038120,active,,,0.105,0.615,0.7277,4.1627,9.6421,,,,-0.0291,,0.0159,2.0033,0.2664,,3.2,0.09,0.64,0.04,0.67
Braelon Allen,NYJ,RB,00-0039794,active,,,0.035,0.225,0.6978,3.7373,8.5486,,,,-0.2311,,0,1.0707,0.3958,,3.2,0.03,0.245,0.01,0.195
Isaiah Davis,NYJ,RB,00-0039798,active,,,0.055,0.135,0.7598,5.684,7.8833,,,,0.6794,,0.0196,0.3613,0.18,,3.2,0.04,0.105,0.02,0.125
Al-Jay Henderson,NYJ,RB,,practice_squad,,new to team,0,0,0.75,4.2,6.5,,,,1,,0.04,0,0.15,,3.2,0,0,0,0
Andrew Beck,NYJ,RB,00-0034959,active,,,0,0,0.5556,5,3.3333,,,,6.4444,,0.1111,-0.123,0,,3.2,0,0,0,0
Chip Trayanum,NYJ,RB,00-0041239,ir,8,,0,0,0.75,4.2,6.5,,,,1,,0.04,0,0.15,,3.2,0,0,0,0
Dominic Richardson,NYJ,RB,00-0040937,ir,8,new to team,0,0,0.75,4.2,6.5,,,,1,,0.04,0,0.15,,3.2,0,0,0,0
Kene Nwangwu,NYJ,RB,00-0036842,active,,,0,0,0,3.869,6.667,,,,-6,,0,0,0.15,,3.2,0,0,0,0
Garrett Wilson,NYJ,WR,00-0037740,active,,,0.265,0.005,0.6278,2.5,3.8841,,,,9.3435,,0.1336,-0.7261,0.1511,,3.1951,0.265,0,0.275,0
Adonai Mitchell,NYJ,WR,00-0039890,active,,,0.115,0.01,0.4184,0.4,4.1059,,,,15.2044,,0.3316,-0.6478,0.1181,,2.9226,0.1,0,0.095,0
Omar Cooper,NYJ,WR,00-0041511,ir,6,"Out 4 wks (ankle) from wk2, reevaluate ~wk6 (Cam 2026-09-19)",0.11,0,0.6429,4.2,5.6164,,,,8.876,,0.1247,0.1552,0.146,,2.6,0.11,0,0.13,0
Isaiah Williams,NYJ,WR,00-0039451,active,,,0.07,0,0.6705,11.3333,5.2037,,,,3.094,,0,-2.2944,0.0278,,3.2123,0.07,0,0.05,0
Tim Patrick,NYJ,WR,00-0033375,active,,,0.045,0,0.6735,4,4.7476,,,,11.19,,0.131,-0.068,0.2143,,3.6179,0.055,0,0.08,0
Arian Smith,NYJ,WR,00-0040582,active,,,0,0,0.4833,3.25,5.4167,,,,13.7167,,0.3667,-1.6019,0.1667,,2.8,0,0,0,0
Jamaal Pritchett,NYJ,WR,00-0040405,practice_squad,,,0,0,0.62,4.2,4.2,,,,11.5,,0.15,0,0.15,,2.8,0,0,0,0
Malik McClain,NYJ,WR,00-0041267,practice_squad,,,0,0,0.62,4.2,4.2,,,,11.5,,0.15,0,0.15,,2.8,0,0,0,0
Kenyon Sadiq,NYJ,TE,00-0041032,active,,,0.105,0,0.7658,4.2,4.8681,,,,8.8746,,0.0944,0.2384,0.1547,,2.8,0.125,0,0.145,0
Mason Taylor,NYJ,TE,00-0040736,active,,,0.095,0,0.6941,4,2.4487,,,,6.264,,0.0302,-1.7799,0.0718,,3.3733,0.115,0,0.155,0
Connor Hulstein,NYJ,TE,00-0041577,ir,8,new to team,0,0,0.68,4.2,4.5,,,,7.5,,0.06,0,0.15,,3,0,0,0,0
Jelani Woods,NYJ,TE,00-0037755,active,,,0,0,0.5,4,1,,,,2.25,,0,-3.3949,0,,3.452,0,0,0,0
Jeremy Ruckert,NYJ,TE,00-0037805,active,,,0,0,0.7295,4,4.4203,,,,3.5679,,0,-1.4616,0.1957,,2.6123,0,0,0,0
Totals,,,,,,,1,1,,,,,,,,,,,,,,1,1,1,1
